biosample_id_namespace	biosample_local_id	disease
https://www.lincsproject.org/	CPC017_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC017_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC017_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC018_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC018_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC018_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC018_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC018_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC018_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC018_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC019_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC019_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC019_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC019_HCC515_6H	DOID:1324
https://www.lincsproject.org/	CPC019_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC019_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC019_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC019_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC019_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC019_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC019_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC019_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC020_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC020_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC020_HCC515_6H	DOID:1324
https://www.lincsproject.org/	CPC020_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC020_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC020_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC020_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC020_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC020_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC020_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPD001_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPD001_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPD001_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPD002_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPD002_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPD002_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPD002_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPD003_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPD003_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPD003_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPD003_PC3_6H	DOID:2526
https://www.lincsproject.org/	CVD001_HEPG2_24H	DOID:305
https://www.lincsproject.org/	CVD001_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CVD001_HUH7_24H	DOID:305
https://www.lincsproject.org/	CVD001_HUH7_6H	DOID:305
https://www.lincsproject.org/	CYT001_A375_2H	DOID:1909
https://www.lincsproject.org/	CYT001_A375_4H	DOID:1909
https://www.lincsproject.org/	CYT001_A549_2H	DOID:1324
https://www.lincsproject.org/	CYT001_A549_4H	DOID:1324
https://www.lincsproject.org/	CYT001_HCC515_2H	DOID:1324
https://www.lincsproject.org/	CYT001_HCC515_4H	DOID:1324
https://www.lincsproject.org/	CYT001_HEPG2_2H	DOID:305
https://www.lincsproject.org/	CYT001_HEPG2_4H	DOID:305
https://www.lincsproject.org/	CYT001_HT29_2H	DOID:1520
https://www.lincsproject.org/	CYT001_HT29_4H	DOID:1520
https://www.lincsproject.org/	CYT001_MCF7_2H	DOID:3459
https://www.lincsproject.org/	CYT001_MCF7_4H	DOID:3459
https://www.lincsproject.org/	CYT001_PC3_2H	DOID:2526
https://www.lincsproject.org/	CYT001_PC3_4H	DOID:2526
https://www.lincsproject.org/	CYT001_VCAP_2H	DOID:2526
https://www.lincsproject.org/	CYT001_VCAP_4H	DOID:2526
https://www.lincsproject.org/	DEB001_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DEB001_MCF7_6H	DOID:3459
https://www.lincsproject.org/	DEB001_PC3_24H	DOID:2526
https://www.lincsproject.org/	DEB001_PC3_6H	DOID:2526
https://www.lincsproject.org/	DER001_A375_96H	DOID:1909
https://www.lincsproject.org/	DER001_A549_96H	DOID:1324
https://www.lincsproject.org/	DER001_HCC515_96H	DOID:1324
https://www.lincsproject.org/	DER001_HT29_96H	DOID:1520
https://www.lincsproject.org/	DER001_MCF7_96H	DOID:3459
https://www.lincsproject.org/	DER001_PC3_96H	DOID:2526
https://www.lincsproject.org/	DER001_VCAP_96H	DOID:2526
https://www.lincsproject.org/	DOS001_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS001_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS002_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS002_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS003_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS003_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS004_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS004_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS005_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS005_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS006_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS006_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS007_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS008_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS008_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS009_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS009_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS010_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS010_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS011_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS011_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS012_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS012_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS013_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS013_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS014_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS014_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS015_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS015_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS016_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS016_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS017_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS017_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS018_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS018_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS019_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS019_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS020_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS020_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS021_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS022_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS022_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS023_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS023_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS024_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS024_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS025_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS025_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS026_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS026_VCAP_6H	DOID:2526
