collection_id_namespace	collection_local_id	project_id_namespace	project_local_id
https://www.lincsproject.org/	LDG-1029	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1083	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1041	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1025	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1100	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1163	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1161	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1199	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1188	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1227	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1198	https://www.lincsproject.org/	LINCS trans-center
https://www.lincsproject.org/	LDG-1264	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1312	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1191	https://www.lincsproject.org/	External
https://www.lincsproject.org/	LDG-1313	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1314	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1315	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1316	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1317	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1318	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1319	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1320	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1321	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1432	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1435	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1433	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1436	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1437	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1434	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1341	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1342	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1343	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1344	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1345	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1346	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1347	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1356	https://www.lincsproject.org/	LINCS MCF10A project
