subject_id_namespace	subject_local_id	role_id	taxonomy_id
http://www.lincsproject.org/	GTEX-XBED	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SIU8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PSDG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S4Z8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S7SF	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-YECK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U4B1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-UJMC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RM2N	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WRHU	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-TKQ1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WFG7	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y114	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZTTD	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-YJ89	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XPT6	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RWS6	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RUSQ	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-REY6	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S4P3	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RTLS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-T5JC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X4EO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-R55G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-UPIC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SE5C	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WRHK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PVOW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y5LM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XGQ4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-N7MS	cfde_subject_role:0	NCBI:txid9606
