local_id	id_namespace	project_id_namespace	project_local_id	creation_time	granularity	persistent_id
GTEX-T6MN	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-VJWN	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WFON	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-UPK5	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-VJYA	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XBED	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-SIU8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PSDG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S4Z8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S7SF	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-YECK	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-U4B1	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-UJMC	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-RM2N	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WRHU	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-TKQ1	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WFG7	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y114	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZTTD	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-YJ89	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XPT6	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-RWS6	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-RUSQ	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-REY6	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S4P3	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-RTLS	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-T5JC	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X4EO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-R55G	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-UPIC	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-SE5C	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WRHK	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PVOW	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y5LM	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XGQ4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-N7MS	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZG7Y	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZQUD	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-OXRO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WHSB	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-R55E	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X62O	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-U8XE	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-OIZG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZF2S	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WFJO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WHSE	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XPVG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X4EP	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-NPJ8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WZTO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-P4QS	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-U3ZH	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZF3C	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-P4QR	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y3I4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-YFCO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZT9W	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X5EB	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-NL3G	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WL46	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XAJ8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-R55D	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
